project_id,job_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,created_at
ul-cd-p-901924-pk-prj,pak-mf-gcs-to-bq,n1-standard-1,f1-micro,europe-west3,5.53,35.25,29.72,The f1-micro machine type is selected as it meets the predicted memory peak of 0.5 GB with its 0.6 GB memory and exceeds the predicted CPU peak of 0.59 vCPUs with its 1.0 vCPU. This results in significant monthly savings of 29.72 USD compared to the current n1-standard-1 machine.,0.0611975,0.0096,2026-01-05 02:48:31.147308 UTC
ul-cd-p-902346-ar-prj,arg-mf-gcs-to-bq,n1-standard-1,f1-micro,europe-west3,5.5296,35.24976,29.72016,"The target machine 'f1-micro' is significantly more cost-effective than the current 'n1-standard-1'. Despite the predicted low memory (0.046 GB) and CPU (0.048 vCPUs) requirements, the 'f1-micro' with 0.6 GB memory and 1.0 vCPU provides ample resources and results in substantial monthly savings of $29.72, a 84.3% reduction in cost. The 'f1-micro' is a suitable choice for this job given its low resource prediction.",0.0611975,0.0096,2026-01-05 03:28:52.693076 UTC
ul-cd-p-902346-ar-prj,arg-hf-gcs-to-bq,n1-standard-1,f1-micro,europe-west3,5.5296,35.24976,29.72016,"The f1-micro machine type is selected as it offers significant cost savings while still meeting the predicted memory (0.6 GB vs 0.22 GB) and CPU (1.0 vCPU vs 0.24 vCPU) requirements. The predicted resource usage is well within the capabilities of the f1-micro, making it a cost-effective choice.",0.0611975,0.0096,2026-01-05 03:28:33.024307 UTC
ul-cd-u-901912-th-prj,tha-bq-to-gcs-soq,n2-highmem-8,f1-micro,europe-west3,5.53,388.89,383.36,The f1-micro machine type is selected as it meets the predicted memory peak of 0.5 GB (f1-micro has 0.6 GB) and predicted CPU peak of 0.5 vCPUs (f1-micro has 1.0 vCPU). This results in significant cost savings compared to the current n2-highmem-8 machine type.,0.675152,0.0096,2026-01-05 04:03:56.028963 UTC
ul-cd-p-901924-pk-prj,pak-bq-to-gcs-soq,n2-highmem-8,f1-micro,europe-west3,5.53,388.89,383.36,"The f1-micro machine type is selected as it meets the predicted memory (0.6 GB vs 0.5 GB) and CPU (1.0 vCPU vs 0.5 vCPU) requirements for the ML prediction. Despite the current job using a high-memory machine (n2-highmem-8), the predicted resource needs are significantly lower, making f1-micro a cost-effective choice. The monthly savings are substantial, indicating a good fit.",0.675152,0.0096,2026-01-05 02:48:12.270617 UTC
ul-cd-u-901913-vm-prj,vnm-bq-to-gcs-soq,n2-highmem-8,f1-micro,europe-west3,5.53,388.89,383.36,"The f1-micro machine type is selected as it meets the predicted memory (0.6 GB vs 0.5 GB) and CPU (1.0 vCPUs vs 0.5 vCPUs) requirements while offering significant cost savings compared to the current n2-highmem-8. The predicted resource usage is well within the f1-micro's capabilities, making it a cost-effective choice.",0.675152,0.0096,2026-01-05 04:33:13.342663 UTC
ul-cd-l-930268-ph-prj,phl-bq-to-gcs,n1-highmem-16,f1-micro,europe-west3,5.53,702.32,696.79,"The target machine 'f1-micro' with 0.6 GB memory and 1.0 vCPU is significantly over-provisioned compared to the predicted peak memory of 0.113 GB and peak CPU of 0.5 vCPUs. However, given the constraint to use the provided target machine type and its associated cost, the savings are substantial. If the target machine's resources were closer to the prediction, even greater savings would be realized. The current machine is vastly oversized for the predicted workload.",1.219312,0.0096,2026-01-05 01:28:04.893476 UTC
ul-cd-u-901914-bg-prj,bgd-bq-to-gcs,n1-highmem-16,f1-micro,europe-west3,5.5296,702.323712,696.794112,"The f1-micro machine type is selected as it meets the predicted memory peak of 0.214 GB and CPU peak of 0.5 vCPUs, while offering significant cost savings compared to the current n1-highmem-16. The target machine's memory (0.6 GB) and CPU (1.0 vCPU) are sufficient for the predicted load.",1.219312,0.0096,2026-01-05 04:48:14.822980 UTC
ul-cd-p-901924-pk-prj,pak-bq-to-gcs,n1-highmem-16,f1-micro,europe-west3,5.5296,702.323712,696.794112,"The f1-micro machine type is selected as it meets the predicted memory peak of 0.5 GB and CPU peak of 0.5 vCPUs, while offering significant cost savings compared to the current n1-highmem-16 machine type. The target machine's memory (0.6 GB) and CPU (1.0 vCPUs) are sufficient for the predicted workload.",1.219312,0.0096,2026-01-05 02:48:50.248308 UTC
ul-cd-u-901913-vm-prj,vnm-mf-gcs-to-bq,n1-standard-1,e2-micro,europe-west3,6.22,35.25,29.03,"The e2-micro machine type is selected because its predicted CPU (2.0 vCPUs) and Memory (1.0 GB) are sufficient to handle the predicted peak CPU (0.24 vCPUs) and Memory (0.86 GB) requirements, while offering significant cost savings compared to the current n1-standard-1 machine type.",0.0611975,0.010791945,2026-01-05 04:32:36.918218 UTC
