project_id,cluster_name,current_machine_type,target_machine_type,region,target_cost,current_cost,savings,justification,current_machine_hourly_rate,target_machine_hourly_rate,node_count,created_at
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-gl-ucube-cluster,n1-standard-1,e2-medium,europe-central2,70.05636864,99.31896,29.26259136,"The e2-medium machine type is recommended as it offers a lower hourly rate and monthly cost compared to the n1-standard-1, while still meeting the predicted memory and CPU requirements. The predicted memory peak of 3.04 GB is well within the 4.0 GB of the e2-medium, and the predicted CPU peak of 0.067 vCPUs is also comfortably within the 2.0 vCPUs of the e2-medium. The sustained use discount has been applied to the target cost, resulting in significant monthly savings.",0.05747625,0.04054188,3.0,2026-01-04 04:57:59.095591 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-vnthph-loyalty-cluster,n1-standard-1,e2-medium,europe-central2,46.704245760000006,66.21264000000001,19.50839424,"The e2-medium machine type is selected as it provides sufficient memory (4.0 GB) and CPU (2.0 vCPUs) to meet the predicted ML resource peaks (3.45 GB memory, 0.99 vCPU) while offering a lower monthly cost compared to the current n1-standard-1.",0.05747625,0.04054188,2.0,2026-01-04 04:50:35.575266 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-ucube-cluster-perf,n1-standard-1,e2-medium,europe-west3,74.59392384000002,105.74928,31.15535616,"The e2-medium machine type is selected as it offers a lower monthly cost (74.59 USD) compared to the current n1-standard-1 (105.75 USD), resulting in monthly savings of 31.16 USD. Although the predicted CPU (0.07 vCPU) and memory (3.26 GB) are lower than the current machine's capacity (1 vCPU, 3.75 GB), the e2-medium provides sufficient resources (2 vCPUs, 4.0 GB) to accommodate the ML predictions while being more cost-effective.",0.0611975,0.04316778,3.0,2026-01-04 04:57:43.289936 UTC
ul-cd-u-901677-gl-prj,gfr-cd-u-901677-bd-isr-perf-cluster,e2-standard-2,c4a-highmem-1,europe-west3,200.30688,248.64641280000006,48.33953280000006,"The target machine type c4a-highmem-1 is chosen because it offers sufficient memory (8.0 GB) and CPU (1.0 vCPU) to accommodate the predicted peak memory of 4.61 GB and CPU of 0.23 vCPUs, while also providing cost savings compared to the current e2-standard-2 machine type. The sustained use discount has been applied to the target cost.",0.08633556,0.069551,5.0,2026-01-04 04:57:15.066990 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-ucube-cluster,e2-standard-2,c4a-highmem-1,europe-west3,120.18412800000002,149.18784768000003,29.00371968000001,"The target machine type c4a-highmem-1 has 8.0 GB of memory and 1.0 vCPU, which is sufficient for the predicted peak memory of 4.83 GB and peak CPU of 0.27 vCPUs. It also offers a lower monthly cost compared to the current e2-standard-2 machine type, resulting in savings.",0.08633556,0.069551,3.0,2026-01-04 04:43:39.212505 UTC
ul-cd-p-901678-gl-prj,gfr-cd-p-901678-pk-isr-cluster,e2-highmem-2,c4a-highmem-1,europe-west3,320.491008,536.6648217600001,216.1738137600001,"The target machine type c4a-highmem-1 fits the ML prediction of 0.34 vCPUs and 5.22 GB memory, offering a more cost-effective solution than the current e2-highmem-2 machine type, with significant monthly savings.",0.11646372,0.069551,8.0,2026-01-04 04:43:24.825522 UTC
ul-cd-u-901677-gl-prj,gfr-cd-perf-901677-loyalty-pk-cluster,e2-highmem-2,c4a-highmem-1,europe-west3,120.18412800000002,201.24930816000006,81.06518016,The target machine type c4a-highmem-1 with 8.0 GB memory and 1.0 vCPU is a cost-effective choice as it closely matches the predicted memory peak of 7.99 GB and predicted CPU peak of 0.53 vCPUs. It offers significant cost savings compared to the current e2-highmem-2 machine type while meeting the resource requirements.,0.11646372,0.069551,3.0,2026-01-04 04:57:00.359681 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-id-isr-cluster,e2-standard-2,e2-standard-2,europe-central2,186.81698304000003,186.81698304000003,0.0,"The target machine type e2-standard-2 with 8.0 GB memory and 2.0 vCPUs meets the predicted ML resource needs of 7.65 GB memory and 1.74 vCPUs. Since the target machine is the same as the current machine and the calculated savings are not positive, we retain the current configuration to avoid increased costs.",0.08108376,0.08108376,4.0,2026-01-04 04:49:21.758479 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-gl-ucube-cluster,e2-standard-2,e2-standard-2,europe-central2,93.41,93.41,0.00,"The predicted memory (5.32 GB) and CPU (0.14 vCPUs) are well within the capacity of the current e2-standard-2 machine (8.0 GB memory, 2.0 vCPUs). Since the target machine is the same as the current machine and no cost savings are identified, maintaining the current configuration is the most cost-effective approach.",0.08108376,0.08108376,2.0,2026-01-04 04:49:06.581757 UTC
ul-cd-q-901676-gl-prj,gfr-cd-q-901676-bd-isr-cluster,e2-standard-2,e2-standard-2,europe-central2,140.11273728,140.11273728,0.0,"The predicted memory (5.72 GB) and CPU (0.34 vCPU) are well within the current machine's capacity (8.0 GB memory, 2.0 vCPU). Since the target machine type is the same as the current one and the predicted usage is low, no cost savings are achievable by changing the machine type. Therefore, maintaining the current configuration is the most cost-effective approach.",0.08108376,0.08108376,3.0,2026-01-04 04:48:52.174322 UTC
